Tycho2|m<8.5
--	2	16	29.9303	2	2	44.9729	8.179	--
--	2	11	22.7206	1	40	57.6679	8.315	--
HD 14042	2	16	28.3666	2	14	17.2683	7.387	--
HD 13885	2	15	9.6080	0	43	12.6017	6.772	--
HD 13819	2	14	36.9834	1	40	39.3444	7.291	--
HD 14128	2	17	13.4759	1	51	37.5437	7.337	--
HD 14214	2	18	1.4410	1	45	28.0825	5.665	--
HD 14634	2	21	48.9508	0	58	12.0845	7.436	--
--	2	25	7.9864	0	38	10.6272	8.157	--
--	2	22	22.7017	0	11	32.1703	8.410	--
HD 15328	2	27	59.9346	1	57	39.2157	6.630	--
69    Cet	2	21	56.6281	0	23	44.4208	5.489	--
--	2	3	0.6906	2	45	44.7170	8.285	--
--	2	2	26.7342	2	48	57.0765	8.246	--
HD 13249	2	9	40.0030	4	13	57.9612	7.407	--
--	2	3	12.7213	3	39	29.1182	8.408	--
HD 12252	2	0	21.7944	4	23	22.2026	7.203	--
HD 13285	2	9	51.3548	3	46	9.6437	6.814	--
--	2	1	38.8773	3	41	2.5447	8.428	--
HD 12536	2	3	1.7237	3	21	31.0465	6.947	--
112    Psc	2	0	9.1597	3	5	49.2748	5.940	--
113Alp Psc	2	2	2.8075	2	45	49.4727	4.100	--
113Alp Psc	2	2	2.8075	2	45	49.4727	5.167	--
HD 14362	2	19	19.5182	2	39	52.7941	7.722	--
HD 14385	2	19	28.6900	2	49	13.2587	7.381	--
HD 14084	2	16	50.3652	2	34	34.2972	7.699	--
HD 14350	2	19	10.3439	3	32	12.6070	7.560	--
--	2	16	26.3781	4	37	33.8696	8.286	--
--	2	13	2.4632	4	17	10.1892	8.352	--
HD 14280	2	18	40.8962	4	11	45.8512	7.819	--
--	2	15	7.7907	3	51	4.5161	8.275	--
HD 13467	2	11	43.4170	3	27	9.7773	6.686	--
HD 13546	2	12	15.7685	2	44	43.9973	6.609	--
--	2	23	0.5856	3	47	54.9001	8.077	--
--	2	22	0.8535	4	44	48.3518	8.334	--
HD 15389	2	28	44.7115	3	34	22.0423	7.914	--
HD 13227	2	9	22.2596	5	59	10.3365	7.019	--
--	2	1	7.8603	5	20	12.3084	8.087	--
--	2	7	9.2185	7	18	3.4309	8.361	--
HD 12814	2	5	48.4702	7	1	42.2935	6.826	--
HD 12233	2	0	12.7287	6	55	4.8954	7.648	--
Tyc2 0043 00568 1	2	7	39.0894	5	37	34.7217	7.742	--
HD 12825	2	5	54.9924	6	40	39.0956	7.836	--
HD 13042	2	7	47.2253	5	59	5.4053	7.169	--
Tyc2 0044 00602 1	2	10	32.3965	6	5	55.8196	7.449	--
HD 13803	2	14	32.5203	6	39	3.7716	7.248	--
HD 13683	2	13	29.7689	5	0	45.7563	6.546	--
--	2	24	50.4229	5	1	29.0807	8.244	--
--	2	20	31.8541	7	28	7.0827	8.359	--
--	2	29	32.2571	5	46	2.0533	8.158	--
--	2	27	3.4198	6	13	35.3072	8.092	--
HD 15115	2	26	16.2452	6	17	33.1709	6.828	--
--	2	31	16.6195	1	30	56.0205	8.465	--
HD 16062	2	34	53.0004	1	14	42.1883	7.900	--
--	2	33	15.8168	0	8	0.8710	8.155	--
HD 15821	2	32	42.1320	1	2	1.2740	7.347	--
HD 15695	2	31	29.8657	1	5	39.2431	7.519	--
HD 16314	2	37	9.5620	2	24	55.6664	7.259	--
--	2	39	34.7531	1	22	7.2180	8.164	--
HD 16619	2	39	51.7620	0	8	46.5525	7.908	--
HD 15694	2	31	30.0960	2	16	1.8615	5.411	--
HIP 11736	2	31	29.2878	1	5	28.8510	7.619	--
HD 15633	2	30	45.2035	0	15	20.6971	6.014	--
HD 17616	2	49	37.8914	0	55	15.4875	6.925	--
HD 17417	2	47	39.8679	1	42	19.4318	7.932	--
--	2	42	57.2544	2	15	37.5358	8.323	--
HD 16835	2	41	58.9775	0	33	1.2956	7.625	--
HD 16672	2	40	33.5896	1	51	58.7100	7.745	--
HD 16786	2	41	30.2569	0	32	45.6796	6.820	--
HD 17397	2	47	26.9534	1	3	33.7992	7.970	--
HD 16971	2	43	18.4851	1	43	48.5210	7.998	--
HD 17806	2	51	29.4649	0	5	10.9773	7.790	--
HD 17791	2	51	20.3716	2	10	22.1322	7.172	--
HD 18012	2	53	38.2227	1	58	9.5463	6.844	--
--	2	51	17.5018	1	42	9.0563	8.004	--
HD 18175	2	55	14.0251	0	26	12.3562	7.155	--
HD 17690	2	50	20.3175	0	57	49.9397	7.690	--
HD 18509	2	58	37.3685	2	7	14.0004	7.700	--
HD 18582	2	59	25.8615	1	39	4.4301	7.913	--
HD 18368	2	57	14.9707	1	53	14.2939	7.660	--
HD 18216	2	55	31.5620	2	1	5.8011	6.577	--
HD 18369	2	57	10.3524	0	26	52.0738	6.664	--
--	2	30	7.8570	4	36	17.0072	8.171	--
--	2	35	10.4997	4	7	24.9989	8.229	--
--	2	34	29.6709	3	35	33.9124	8.136	--
--	2	32	39.1787	3	44	18.8749	8.242	--
Tyc2 0049 01514 1	2	31	31.5447	3	26	19.9429	7.503	--
HD 16467	2	38	36.8014	3	26	35.5188	6.348	--
HD 16708	2	40	47.3406	2	53	54.4916	7.196	--
HD 17012	2	43	49.8422	2	49	1.9739	7.798	--
Tyc2 0050 00606 1	2	40	56.6139	4	52	14.6000	7.390	--
HD 16763	2	41	21.6094	4	25	40.0639	7.031	--
HD 17163	2	45	20.9060	4	42	41.8702	6.070	--
--	2	48	58.1356	4	4	48.0784	8.495	--
HD 17779	2	51	20.8052	3	3	24.5190	7.417	--
HD 18162	2	55	8.1678	3	29	12.7469	6.934	--
HD 18271	2	56	14.0530	4	2	54.3791	7.710	--
--	2	52	57.9096	3	33	14.2208	8.495	--
HD 18345	2	57	4.5739	4	30	3.7043	6.363	--
HD 18359	2	57	9.5900	3	40	43.3393	7.623	--
HD 15834	2	32	59.7854	6	57	22.7235	7.988	--
HD 15771	2	32	12.1690	6	43	2.3101	7.717	--
HD 15904	2	33	27.7845	5	42	0.6380	7.784	--
HD 16189	2	36	2.5778	6	25	56.7184	7.039	--
HD 16060	2	35	4.1341	7	28	15.6076	6.280	--
78Nu  Cet	2	35	52.4721	5	35	35.6751	4.968	--
--	2	44	9.2527	7	23	13.4501	8.435	--
Tyc2 0053 00303 1	2	41	7.8195	6	4	20.1932	7.145	--
HD 16647	2	40	15.6920	6	6	43.0059	6.291	--
HD 17065	2	44	32.6176	5	39	28.0108	7.849	--
--	2	48	50.8802	6	34	9.7701	8.496	--
HD 17250	2	46	14.6083	5	35	33.3299	7.938	--
HD 17907	2	52	39.4567	6	28	29.7118	7.921	--
HD 18570	2	59	22.4400	6	39	7.8277	7.897	--
--	2	59	22.4400	6	39	7.8277	8.233	--
--	2	52	14.5792	5	30	28.5859	8.115	--
Tyc2 0054 00884 1	2	51	29.3215	5	50	30.5138	7.881	--
HD 18258	2	56	4.1685	6	10	29.8898	7.399	--
HD 18060	2	54	12.5408	5	2	53.9448	7.628	--
--	3	0	8.1974	0	14	7.5265	8.411	--
HD 18789	3	1	25.5264	1	9	22.2401	7.389	--
HD 19649	3	9	51.5349	1	29	3.4920	7.682	--
HD 18974	3	3	10.5918	1	22	5.4199	7.886	--
--	3	5	17.6322	1	53	43.6389	8.452	--
--	3	5	15.0485	0	51	11.3975	8.390	--
--	3	6	39.1188	2	4	50.2478	8.408	--
--	3	5	57.2915	1	12	24.0405	8.129	--
HD 19450	3	7	39.8061	1	24	21.4566	7.259	--
HD 18682	3	0	17.4399	0	58	13.4134	7.898	--
--	3	8	57.2709	1	6	52.1809	8.493	--
HD 19121	3	4	38.0663	1	51	48.9726	6.152	--
HD 20421	3	17	11.8523	1	33	29.0110	7.785	--
HD 20672	3	19	44.9069	1	11	56.3511	7.395	--
--	3	14	2.9122	0	44	21.2666	8.138	--
--	3	14	2.9122	0	44	21.2666	8.171	--
HD 19739	3	10	35.9393	0	12	44.9931	7.308	--
HD 19903	3	12	2.1205	0	6	27.6225	7.139	--
--	3	13	21.4827	0	10	27.2491	8.491	--
HD 19760	3	10	55.4308	2	18	57.0398	6.888	--
--	3	21	12.4354	0	32	51.1841	8.121	--
--	3	21	12.5835	0	3	32.7785	8.450	--
HD 21367	3	26	49.2401	0	1	34.2421	7.214	--
--	3	22	49.2858	1	9	33.5965	8.486	--
HD 20699	3	20	1.8310	1	29	1.0553	6.835	--
--	3	24	26.3425	2	5	24.3642	8.028	--
--	3	26	26.2848	2	10	11.0994	8.326	--
--	3	29	2.6342	2	15	48.4499	8.451	--
HD 21405	3	27	13.8455	2	16	48.6219	7.408	--
HD 21032	3	23	36.3046	0	54	36.3019	6.603	--
--	3	7	48.2764	3	24	43.2348	8.099	--
93    Cet	3	2	22.5182	4	21	10.4057	5.591	--
HD 19294	3	6	22.5431	3	48	36.4438	7.784	--
--	3	9	8.4202	2	50	44.4492	8.392	--
--	3	1	51.2631	3	8	16.9630	8.179	--
--	3	6	25.5814	3	15	52.2784	8.231	--
--	3	9	14.5370	3	14	33.9165	8.095	--
HD 19648	3	9	56.8666	3	3	39.4670	7.512	--
HD 19346	3	6	47.0556	2	42	51.9965	7.983	--
92Alp Cet: Menkar	3	2	16.7722	4	5	23.0577	2.716	--
--	3	12	48.5832	2	41	42.1482	8.037	--
--	3	11	34.3837	4	43	23.7625	8.020	--
--	3	18	6.4566	4	58	9.8993	8.000	--
HD 20469	3	17	45.3391	3	40	53.1830	7.901	--
96Kap1Cet	3	19	21.6967	3	22	12.7127	4.919	--
--	3	20	55.9510	3	16	55.5190	8.213	--
--	3	23	54.8438	3	2	36.7846	8.210	--
HD 20884	3	22	5.0765	4	12	38.1372	7.614	--
HD 21018	3	23	38.9896	4	52	55.5633	6.528	--
--	3	21	16.1167	3	27	39.6141	8.301	--
HD 21555	3	28	43.0338	4	21	25.6016	7.693	--
--	3	27	58.5122	3	55	0.9980	8.205	--
HD 21585	3	29	3.8046	3	14	55.3431	6.504	--
97Kap2Cet	3	21	6.8034	3	40	32.2464	5.787	--
HD 19573	3	9	10.5287	7	27	37.4940	7.663	--
--	3	9	36.3472	5	12	10.3806	8.045	--
Tyc2 0061 00063 1	3	9	12.1117	7	26	20.0433	7.836	--
--	3	9	56.3922	6	42	17.3798	8.252	--
HD 19511	3	8	24.8670	6	43	24.4625	7.775	--
--	3	7	56.2889	7	15	22.2003	8.091	--
HD 19019	3	3	50.8146	6	7	59.8883	6.990	--
--	3	3	57.6455	7	16	54.1436	8.100	--
HD 18995	3	3	28.1651	6	13	36.0681	6.762	--
HD 19219	3	5	38.4813	6	7	2.7667	7.838	--
--	3	6	50.1976	5	39	0.1289	8.248	--
Tyc2 0061 00996 1	3	2	39.8994	5	11	17.4633	7.417	--
HD 18832	3	1	52.3013	5	20	10.1421	6.359	--
--	3	0	36.0984	5	59	9.8486	8.183	--
--	3	6	33.3281	5	37	30.0513	8.068	--
--	3	0	57.7866	5	17	16.5875	8.235	--
HD 20402	3	17	9.0052	6	47	59.6058	6.987	--
HD 19790	3	11	10.2213	7	10	26.4630	7.907	--
--	3	11	9.5798	6	52	1.4490	8.114	--
HD 19926	3	12	26.3654	6	39	39.1724	5.680	--
--	3	28	13.0348	7	18	8.0096	8.072	--
HD 21243	3	25	44.2665	5	56	7.5694	7.693	--
HD 21440	3	27	31.9499	5	52	13.5697	7.324	--
--	3	34	23.4664	1	23	41.2415	8.376	--
--	3	32	8.8191	0	17	18.2434	8.416	--
HD 22572	3	37	50.3842	0	8	27.9052	7.294	--
HD 22547	3	37	38.3885	1	7	21.1258	7.527	--
--	3	37	14.2089	1	20	57.8636	8.239	--
HD 22468	3	36	47.2954	0	35	15.9355	6.000	--
10    Tau	3	36	52.3831	0	24	5.9824	4.353	--
--	3	48	35.8152	2	25	12.0078	8.315	--
--	3	44	40.2374	1	56	17.8144	8.086	--
--	3	45	44.5335	0	37	2.2410	8.294	--
HD 23887	3	48	38.9541	0	13	40.2854	6.041	--
HD 23527	3	45	53.4696	0	13	21.6863	7.594	--
HD 25001	3	58	21.2491	1	26	45.0998	7.784	--
--	3	56	18.7591	2	12	27.2015	8.370	--
--	3	51	10.2884	0	56	0.8094	8.156	--
HD 24380	3	52	47.6760	1	44	52.2984	7.817	--
--	3	50	17.4152	1	25	22.7551	8.466	--
HD 24585	3	54	42.4870	2	5	23.8515	6.914	--
--	3	54	22.6339	1	15	41.8224	8.039	--
HD 24181	3	51	3.7649	1	43	29.7960	7.783	--
HD 24133	3	50	41.9413	1	33	50.1992	6.703	--
HD 25137	3	59	41.5735	1	47	41.3371	7.276	--
HD 24456	3	53	30.2282	2	7	8.8825	6.711	--
HD 21976	3	32	38.7253	3	8	59.8292	7.951	--
--	3	39	20.2234	2	34	19.2004	8.412	--
HD 22653	3	38	42.8913	2	43	40.2622	7.855	--
--	3	38	42.7228	2	54	11.8400	8.241	--
--	3	32	12.0406	3	52	36.6976	8.349	--
HD 22686	3	38	55.0914	2	45	48.5801	7.222	--
HD 22149	3	34	13.6373	3	25	56.2087	7.637	--
--	3	39	24.3244	3	32	49.7628	8.074	--
HD 22557	3	37	49.8984	4	8	43.6905	7.252	--
12    Tau	3	39	51.1225	3	3	24.7040	5.658	--
HD 23467	3	45	34.5800	3	14	23.0407	7.890	--
Tyc2 0068 00128 1	3	41	4.9214	2	57	1.2766	7.993	--
--	3	42	13.3538	3	25	56.3714	8.138	--
--	3	42	51.6621	4	7	20.6786	8.467	--
--	3	45	17.5497	4	26	16.5636	8.260	--
HD 23412	3	45	2.7147	2	37	16.5622	6.702	--
HD 24792	3	56	37.7576	3	3	28.3871	7.149	--
--	3	51	45.1106	2	46	2.5688	8.389	--
--	3	59	27.5973	3	47	2.0765	8.355	--
--	3	59	33.1401	4	36	24.1489	8.020	--
--	3	58	42.6538	3	31	32.0466	8.367	--
--	3	54	41.7170	4	56	59.1757	8.125	--
HD 21797	3	31	1.4458	7	11	53.9168	7.735	--
HD 21788	3	30	47.6620	5	9	9.4768	7.561	--
HD 21777	3	30	44.7385	5	30	47.0865	7.703	--
